toponyme,derive,transcription_base,transcription_derive,sfx_gentile,allomorphie,topo_compose,type_topo,pays,nb_syll_base,nb_seg_base,der_seg_base
Berné,bernéen,bɛʁ.ne,bɛʁ.ne.ɛ̃,(é)en,0,0,ville,france,2,5,e
Besné,besnéen,be.ne,be.ne.ɛ̃,(é)en,0,0,ville,france,2,4,e
Billé,billéen,bi.je,bi.je.ɛ̃,(é)en,0,0,ville,france,2,4,e
Bourdonné,bourdonnéen,buʁ.dɔ.ne,buʁ.dɔ.ne.ɛ̃,(é)en,0,0,ville,france,3,7,e
Degré,degréen,də.gʁe,də.gʁe.ɛ̃,(é)en,0,0,ville,france,2,5,e
Dingé,dingéen,dɛ̃.ʒe,dɛ̃.ʒe.ɛ̃,(é)en,0,0,ville,france,2,4,e
Domagné,domagnéen,dɔ.ma.ɲe,dɔ.ma.ɲe.ɛ̃,(é)en,0,0,ville,france,3,6,e
Douchanbé,douchanbéen,du.ʃan.be,du.ʃan.be.ɛ̃,(é)en,0,0,ville,autre,3,7,e
Draché,drachéen,dʁa.ʃe,dʁa.ʃe.ɛ̃,(é)en,0,0,ville,france,2,5,e
Essé,esséen,ɛ.se,ɛ.se.ɛ̃,(é)en,0,0,ville,france,2,3,e
Fossé,fosséen,fo.se,fo.se.ɛ̃,(é)en,0,0,ville,france,2,4,e
Gacé,gacéen,ga.se,ga.se.ɛ̃,(é)en,0,0,ville,france,2,4,e
Igé,igéen,i.ʒe,i.ʒe.ɛ̃,(é)en,0,0,ville,france,2,3,e
Ligné,lignéen,li.ɲe,li.ɲe.ɛ̃,(é)en,0,0,ville,france,2,4,e
Lomé,loméen,lo.me,lo.me.ɛ̃,(é)en,0,0,ville,autre,2,4,e
Lucé,lucéen,ly.se,ly.se.ɛ̃,(é)en,0,0,ville,france,2,4,e
Miré,miréen,mi.ʁe,mi.ʁe.ɛ̃,(é)en,0,0,ville,france,2,4,e
Moussé,mousséen,mu.se,mu.se.ɛ̃,(é)en,0,0,ville,france,2,4,e
Pacé,pacéen,pa.se,pa.se.ɛ̃,(é)en,0,0,ville,france,2,4,e
Remouillé,remouilléen,ʁə.mu.je,ʁə.mu.je.ɛ̃,(é)en,0,0,ville,france,3,6,e
Renazé,renazéen,ʁə.na.ze,ʁə.na.ze.ɛ̃,(é)en,0,0,ville,france,3,6,e
René,renéen,ʁə.ne,ʁə.ne.ɛ̃,(é)en,0,0,ville,france,2,4,e
Souligné,soulignéen,su.li.ɲe,su.li.ɲe.ɛ̃,(é)en,0,0,ville,france,3,6,e
Teillé,teilléen,tɛ.je,tɛ.je.ɛ̃,(é)en,0,0,ville,france,2,4,e
Tressé,tresséen,tʁe.se,tʁe.se.ɛ̃,(é)en,0,0,ville,france,2,5,e
Villabé,villabéen,vi.la.be,vi.la.be.ɛ̃,(é)en,0,0,ville,france,3,6,e
Viré,viréen,vi.ʁe,vi.ʁe.ɛ̃,(é)en,0,0,ville,france,2,4,e
Vitré,vitréen,vi.tʁe,vi.tʁe.ɛ̃,(é)en,0,0,ville,france,2,5,e
Vogüé,vogüéen,vɔ.gy.e,vɔ.gy.e.ɛ̃,(é)en,0,0,ville,france,3,5,e
Yaoundé,yaoundéen,ja.un.de,ja.un.de.ɛ̃,(é)en,0,0,ville,autre,3,6,e
Zimbabwe,zimbabwéen,zim.ba.bwe,zim.ba.bwe.ɛ̃,(é)en,0,0,pays,autre,3,8,e
Bédée,bédéen,be.de,be.de.ɛ̃,(é)en,0,0,ville,france,2,4,e
Bossée,bosséen,bɔ.se,bɔ.se.ɛ̃,(é)en,0,0,ville,france,2,4,e
Galilée,galiléen,ga.li.le,ga.li.le.ɛ̃,(é)en,0,0,région,autre,3,6,e
Guinée,guinéen,gi.ne,gi.ne.ɛ̃,(é)en,0,0,pays,autre,2,4,e
Judée,judéen,ʒy.de,ʒy.de.ɛ̃,(é)en,0,0,région,autre,2,4,e
Larré,larréen,la.ʁe,la.ʁe.ɛ̃,(é)en,0,0,ville,france,2,4,e
Loché-sur-Indrois,lochéen,lɔ.ʃe,lɔ.ʃe.ɛ̃,(é)en,0,1,ville,france,2,4,e
Phocée,phocéen,fɔ.se,fɔ.se.ɛ̃,(é)en,0,0,ville,autre,2,4,e
Hautes-Pyrénées,haut-pyrénéen,ot.pi.ʁe.ne,o.pi.ʁe.ne.ɛ̃,(é)en,1,1,département,france,4,8,e
Saint-André,saint-andréen,sɛ̃.tã.dʁe,sɛ̃.tã.dʁe.ɛ̃,(é)en,0,1,ville,france,3,7,e
Saint-Barnabé,barnabéen,baʁ.na.be,baʁ.na.be.ɛ̃,(é)en,0,1,ville,france,3,7,e
Sao Tomé-et-Principe,santoméen,sa.o.tɔ.me,sã.tɔ.me.ɛ̃,(é)en,1,1,pays,autre,4,7,e
Sucé-sur-Erdre,sucéen,sy.se,sy.se.ɛ̃,(é)en,0,1,ville,france,2,4,e
Tigré,tigréen,ti.gʁe,ti.gʁe.ɛ̃,(é)en,0,0,région,autre,2,5,e
Vendée,vendéen,vã.de,vã.de.ɛ̃,(é)en,0,0,département,france,2,4,e
Sanxay,sanxéen,sã.sɛ,sã.se.ɛ̃,(é)en,0,0,ville,france,2,4,ɛ
Valençay,valencéen,va.lã.sɛ,va.lã.se.ɛ̃,(é)en,0,0,ville,france,3,6,ɛ
Corée du Sud,sud-coréen,kɔ.ʁe.syd,syd.kɔ.ʁe.ɛ̃,(é)en,1,1,pays,autre,3,7,d
Neuilly-Plaisance,nocéen,nœ.ji,no.se.ɛ̃,éen,1,1,ville,france,2,4,i
Neuilly-sur-Marne,nocéen,nœ.ji,no.se.ɛ̃,éen,1,1,ville,france,2,4,i
Nazareth,nazaréen,na.za.ʁɛt,na.za.ʁe.ɛ̃,(é)en,1,0,ville,autre,3,7,t
Candé,candéen,kã.de,kã.de.ɛ̃,(é)en,0,0,ville,france,2,4,e
Cernay,cernéen,sɛʁ.nɛ,sɛʁ.ne.ɛ̃,(é)en,0,0,ville,france,2,5,ɛ
Chaldée,chaldéen,kal.de,kal.de.ɛ̃,(é)en,0,0,région,autre,2,5,e
Changé,changéen,ʃã.ʒe,ʃã.ʒe.ɛ̃,(é)en,0,0,ville,france,2,4,e
Chargé,chargéen,ʃaʁ.ʒe,ʃaʁ.ʒe.ɛ̃,(é)en,0,0,ville,france,2,5,e
Corée,coréen,kɔ.ʁe,kɔ.ʁe.ɛ̃,(é)en,0,0,pays,autre,2,4,e
Charnizay,charnizéen,ʃaʁ.ni.zɛ,ʃaʁ.ni.ze.ɛ̃,(é)en,0,0,ville,france,3,7,ɛ
Cherré,cherréen,ʃɛ.ʁe,ʃɛ.ʁe.ɛ̃,(é)en,0,0,ville,france,2,4,e
Cintré,cintréen,sɛ̃.tʁe,sɛ̃.tʁe.ɛ̃,(é)en,0,0,ville,france,2,5,e
Couffé,coufféen,ku.fe,ku.fe.ɛ̃,(é)en,0,0,ville,france,2,4,e
Crimée,criméen,kʁi.me,kʁi.me.ɛ̃,(é)en,0,0,région,autre,2,5,e
Crissé,crisséen,kʁi.se,kʁi.se.ɛ̃,(é)en,0,0,ville,france,2,5,e
Jussey,jusséen,ʒy.sɛ,ʒy.se.ɛ̃,(é)en,0,0,ville,france,2,4,ɛ
Messei,messéen,mɛ.sɛ,mɛ.se.ɛ̃,(é)en,0,0,ville,france,2,4,ɛ
Nozay,nozéen,nɔ.zɛ,nɔ.ze.ɛ̃,(é)en,0,0,ville,france,2,4,ɛ
Nozay,nozéen,nɔ.zɛ,nɔ.ze.ɛ̃,(é)en,0,0,ville,france,2,4,ɛ
Orsay,orcéen,ɔʁ.sɛ,ɔʁ.se.ɛ̃,(é)en,0,0,ville,france,2,4,ɛ
Abyssinie,abyssinien,a.bi.si.ni,a.bi.si.njɛ̃,(i)en,0,0,région,autre,4,7,i
Acadie,acadien,a.ka.di,a.ka.djɛ̃,(i)en,0,0,région,autre,3,5,i
